# 1: position (ang), 2: Free electrons density (1/cm^2), 3: Free holes density (1/cm^2) 
0.000000000000000000e+00 3.148345975386549611e+01 0.000000000000000000e+00
4.000000000000000000e+00 3.151774670476331153e+01 0.000000000000000000e+00
8.000000000000000000e+00 3.162060234294364136e+01 0.000000000000000000e+00
1.200000000000000000e+01 3.178754887251363925e+01 0.000000000000000000e+00
1.600000000000000000e+01 3.201010167890530056e+01 0.000000000000000000e+00
2.000000000000000000e+01 3.227689974279931562e+01 0.000000000000000000e+00
2.400000000000000000e+01 3.257540480207835998e+01 0.000000000000000000e+00
2.800000000000000000e+01 3.289404266751444084e+01 0.000000000000000000e+00
3.200000000000000000e+01 3.322462061486765350e+01 0.000000000000000000e+00
3.600000000000000000e+01 3.356466898820517741e+01 0.000000000000000000e+00
4.000000000000000000e+01 3.391963829235273664e+01 0.000000000000000000e+00
4.400000000000000000e+01 3.430461111095974047e+01 0.000000000000000000e+00
4.800000000000000000e+01 3.474622047413899395e+01 0.000000000000000000e+00
5.200000000000000000e+01 3.528427614292803582e+01 0.000000000000000000e+00
5.600000000000000000e+01 3.597513144719616207e+01 0.000000000000000000e+00
6.000000000000000000e+01 3.689606090471433930e+01 0.000000000000000000e+00
6.400000000000000000e+01 3.815623115982933200e+01 0.000000000000000000e+00
6.800000000000000000e+01 3.991942117803823464e+01 0.000000000000000000e+00
7.200000000000000000e+01 4.247168436052007934e+01 0.000000000000000000e+00
7.600000000000000000e+01 4.643315661948863493e+01 0.000000000000000000e+00
8.000000000000000000e+01 5.351836820789923621e+01 0.000000000000000000e+00
8.400000000000000000e+01 6.940026821259633039e+01 0.000000000000000000e+00
8.800000000000000000e+01 1.150377483528142193e+02 0.000000000000000000e+00
9.200000000000000000e+01 2.729376555566199158e+02 0.000000000000000000e+00
9.600000000000000000e+01 8.824396154480556334e+02 0.000000000000000000e+00
1.000000000000000000e+02 3.391929433065846752e+03 0.000000000000000000e+00
1.040000000000000000e+02 1.422906063408901719e+04 0.000000000000000000e+00
1.080000000000000000e+02 6.321117906511738693e+04 0.000000000000000000e+00
1.120000000000000000e+02 2.961753543750895187e+05 0.000000000000000000e+00
1.160000000000000000e+02 1.469793806406077463e+06 0.000000000000000000e+00
1.200000000000000000e+02 7.763586442796649411e+06 0.000000000000000000e+00
1.240000000000000000e+02 4.362245487211981416e+07 0.000000000000000000e+00
1.280000000000000000e+02 2.591883338445019722e+08 0.000000000000000000e+00
1.320000000000000000e+02 1.608383569370781422e+09 0.000000000000000000e+00
1.360000000000000000e+02 1.029714232456823158e+10 0.000000000000000000e+00
1.400000000000000000e+02 6.705266319530536652e+10 0.000000000000000000e+00
1.440000000000000000e+02 4.403938558989890747e+11 0.000000000000000000e+00
1.480000000000000000e+02 2.883347561983295898e+12 0.000000000000000000e+00
1.520000000000000000e+02 1.874853070944425000e+13 0.000000000000000000e+00
1.560000000000000000e+02 1.187644202003019375e+14 0.000000000000000000e+00
1.600000000000000000e+02 1.351878573182625625e+14 0.000000000000000000e+00
1.640000000000000000e+02 6.067866441722926562e+13 0.000000000000000000e+00
1.680000000000000000e+02 2.424382118956974609e+13 0.000000000000000000e+00
1.720000000000000000e+02 1.192834490543089062e+13 0.000000000000000000e+00
1.760000000000000000e+02 8.486961874815624023e+12 0.000000000000000000e+00
1.800000000000000000e+02 7.467380682907019531e+12 0.000000000000000000e+00
1.840000000000000000e+02 6.786083628215623047e+12 0.000000000000000000e+00
1.880000000000000000e+02 6.111873489922091797e+12 0.000000000000000000e+00
1.920000000000000000e+02 5.493628721022497070e+12 0.000000000000000000e+00
1.960000000000000000e+02 5.026747097826880859e+12 0.000000000000000000e+00
2.000000000000000000e+02 4.717570877615409180e+12 0.000000000000000000e+00
2.040000000000000000e+02 4.538328151529696289e+12 0.000000000000000000e+00
2.080000000000000000e+02 4.438742138444025391e+12 0.000000000000000000e+00
2.120000000000000000e+02 4.383603514767972168e+12 0.000000000000000000e+00
2.160000000000000000e+02 4.348439022700839355e+12 0.000000000000000000e+00
2.200000000000000000e+02 4.324347696343152832e+12 0.000000000000000000e+00
2.240000000000000000e+02 4.306650802826974609e+12 0.000000000000000000e+00
2.280000000000000000e+02 4.294037561967140137e+12 0.000000000000000000e+00
2.320000000000000000e+02 4.284250860973012207e+12 0.000000000000000000e+00
2.360000000000000000e+02 4.276235311820040527e+12 0.000000000000000000e+00
2.400000000000000000e+02 4.268873502027540039e+12 0.000000000000000000e+00
2.440000000000000000e+02 4.261875506815757324e+12 0.000000000000000000e+00
2.480000000000000000e+02 4.255128183922261230e+12 0.000000000000000000e+00
2.520000000000000000e+02 4.248895667072405762e+12 0.000000000000000000e+00
2.560000000000000000e+02 4.243316042133162109e+12 0.000000000000000000e+00
2.600000000000000000e+02 4.238537756502361328e+12 0.000000000000000000e+00
2.640000000000000000e+02 4.234467264997271484e+12 0.000000000000000000e+00
2.680000000000000000e+02 4.231004846457155273e+12 0.000000000000000000e+00
2.720000000000000000e+02 4.227948092041145020e+12 0.000000000000000000e+00
2.760000000000000000e+02 4.225220999142980957e+12 0.000000000000000000e+00
2.800000000000000000e+02 4.222799336605864746e+12 0.000000000000000000e+00
2.840000000000000000e+02 4.220830377230635254e+12 0.000000000000000000e+00
2.880000000000000000e+02 4.219528432134490723e+12 0.000000000000000000e+00
2.920000000000000000e+02 4.219006027457800293e+12 0.000000000000000000e+00
2.960000000000000000e+02 4.219154421594389648e+12 0.000000000000000000e+00
3.000000000000000000e+02 4.219672044910641602e+12 0.000000000000000000e+00
